field_name,field_label,dimension,data_type,description
brand_name,所属品牌,品牌稳定性,string,商户依附的茶饮咖啡品牌名称
category,品牌类别,品牌稳定性,string,大众茶饮/中高端茶饮/大众咖啡/品质及场景等
franchise_maturity,加盟成熟度,品牌稳定性,integer,1-5 分表示加盟体系成熟程度
store_scale,门店规模,品牌稳定性,string,品牌门店规模或扩张状态
public_sentiment,品牌舆情,舆情预警,string,公开新闻和社交评价摘要
merchant_name,商户名称,门店经营质量,string,门店或经营主体名称
city,城市,门店经营质量,string,门店所在城市
district,行政区,门店经营质量,string,门店所在区县
business_area_type,商圈类型,门店经营质量,string,核心商圈/社区商业/办公商圈/学校周边等
opening_months,开店时长,门店经营质量,integer,门店连续经营月份
average_ticket,客单价,产品与价格,float,平均订单金额
price_band,价格带,产品与价格,string,品牌主流价格区间
takeaway_rating,外卖评分,用户反馈,float,外卖平台综合评分
negative_review_keywords,差评关键词,用户反馈,string,差评中高频出现的问题
monthly_revenue,月流水,财务压力,float,样例月营业收入
rent_ratio,租金占比,财务压力,float,租金/月流水
labor_cost_ratio,人工成本占比,财务压力,float,人工成本/月流水
purchase_cost_ratio,采购成本占比,财务压力,float,采购成本/月流水
debt_ratio,负债占比,财务压力,float,负债/月流水或可用经营规模
competitor_density,竞品密度,行业竞争,integer,周边同类竞品数量
franchise_type,加盟属性,品牌稳定性,string,成熟加盟/直营或联营/自营单店/区域连锁
has_contract_risk,合同风险标记,合同风险,boolean,是否存在重点合同风险
recent_public_opinion_risk,近期舆情风险,舆情预警,boolean,是否存在近期负面舆情
contract_type,合同类型,合同风险,string,租赁/加盟/采购/供货合同
default_clause,违约责任,合同风险,string,违约金、赔偿、逾期责任等
deposit_clause,保证金条款,合同风险,string,保证金退还、扣除和不予退还条件
franchise_fee_clause,加盟费用,合同风险,string,加盟费、品牌使用费、管理费
termination_clause,单方解除,合同风险,string,提前解除和无条件解除条款
payment_clause,采购付款,合同风险,string,预付款、账期和先款后货
dispute_resolution,争议解决,合同风险,string,仲裁、诉讼和管辖安排

