brand_name,store_count,news_count,sample_risk_score,risk_level,primary_signal
蜜雪冰城,4719,31,63.4,中风险,门店规模大且加盟密度高，适合观察区域竞争和价格带压力
瑞幸咖啡,4434,42,58.8,中低风险,品牌数字化能力强，但核心城市咖啡竞争密度高
库迪咖啡,4422,38,66.2,中风险,扩张速度快，需关注促销依赖与单店稳定性
星巴克,3151,35,52.6,中低风险,品牌成熟度高，客单价较高但租金和人工成本敏感
茶百道,1992,28,64.7,中风险,加盟体系成熟，需结合商圈客流和合同条款复核
霸王茶姬,1852,25,60.9,中风险,品牌热度高，排队效应明显但扩张期波动需关注
古茗,1447,24,61.8,中风险,区域下沉覆盖较广，需关注门店半径内竞品密度
喜茶,1178,29,55.2,中低风险,品牌声量较强，直营/加盟策略变化需跟踪
幸运咖,962,17,67.5,中风险,低价咖啡竞争激烈，需验证单店复购与毛利空间
奈雪的茶,829,21,59.6,中低风险,品牌认知度高，但高线城市店铺成本压力较明显
